NC,T0,max_iterations,alpha,eps,delta,success_rate,elapsed_time
10,100,228,0.97,0.000001,0.001,0.4,348.076931715012
10,100,228,0.97,0.000001,0.001,0.314285714285714,355.789469957352
10,100,228,0.97,0.000001,0.001,0.285714285714286,462.560298919678
10,100,228,0.94,0.000001,0.001,0.828571428571429,381.223068714142
11,100,228,0.94,0.000001,0.001,0.771428571428571,460.361844301224
11,100,228,0.91,0.000001,0.001,0.8,366.987045288086
12,100,228,0.91,0.000001,0.001,0.771428571428571,440.351263999939
12,100,228,0.88,0.000001,0.001,0.742857142857143,387.543116569519
12,100,228,0.85,0.000001,0.001,0.828571428571429,350.656398296356
13,100,228,0.85,0.000001,0.001,0.571428571428571,392.582545995712
13,268.269579527972,228,0.94,0.000001,0.001,0.657142857142857,665.993947267532
13,268.269579527972,228,0.91,0.000001,0.001,0.771428571428571,629.989386558533
13,268.269579527972,228,0.88,0.000001,0.001,0.542857142857143,553.114361047745
13,100,228,0.92,0.000001,0.001,0.657142857142857,495.87815117836
13,100,228,0.89,0.000001,0.001,0.714285714285714,422.17440032959
13,100,228,0.86,0.000001,0.001,0.714285714285714,374.822858095169
13,268.269579527972,228,0.92,0.000001,0.001,0.828571428571429,587.771929979324
14,268.269579527972,228,0.92,0.000001,0.001,0.628571428571429,682.908306598663
14,268.269579527972,228,0.89,0.000001,0.001,0.742857142857143,615.301613330841
14,268.269579527972,228,0.86,0.000001,0.001,0.628571428571429,529.962503433228
14,719.685673001152,228,0.92,0.000001,0.001,0.485714285714286,687.661620616913
14,719.685673001152,228,0.89,0.000001,0.001,0.714285714285714,671.45347237587
14,719.685673001152,228,0.86,0.000001,0.001,0.571428571428571,582.814044237137
14,1930.69772888325,228,0.89,0.000001,0.001,0.6,664.963007211685
14,1930.69772888325,228,0.86,0.000001,0.001,0.828571428571429,604.638227462769
15,1930.69772888325,228,0.86,0.000001,0.001,0.742857142857143,689.051510810852
15,37275.9372031494,228,0.86,0.000001,0.001,0.542857142857143,761.434341907501
15,100,357,0.98,0.000001,0.001,0.714285714285714,1228.57206726074
15,100,357,0.95,0.000001,0.001,0.742857142857143,891.934429645538
15,100,357,0.92,0.000001,0.001,0.514285714285714,663.410259485245
15,100,357,0.89,0.000001,0.001,0.685714285714286,576.234889984131
15,100,357,0.86,0.000001,0.001,0.628571428571429,493.866767883301
15,268.269579527972,357,0.95,0.000001,0.001,0.771428571428571,1101.52909207344
15,268.269579527972,357,0.92,0.000001,0.001,0.8,837.113187789917
16,268.269579527972,357,0.92,0.000001,0.001,0.742857142857143,949.414818286896
16,268.269579527972,357,0.89,0.000001,0.001,0.742857142857143,807.446420431137
16,268.269579527972,357,0.86,0.000001,0.001,0.628571428571429,720.871011972427
16,719.685673001152,357,0.95,0.000001,0.001,0.457142857142857,1374.76867008209
16,719.685673001152,357,0.92,0.000001,0.001,0.6,1094.81433916092
16,719.685673001152,357,0.89,0.000001,0.001,0.628571428571429,918.974852800369
16,719.685673001152,357,0.86,0.000001,0.001,0.685714285714286,793.982921123505
16,1930.69772888325,357,0.95,0.000001,0.001,0.571428571428571,1402.60754489899
16,1930.69772888325,357,0.92,0.000001,0.001,0.685714285714286,1138.04917836189
16,1930.69772888325,357,0.89,0.000001,0.001,0.6,5835.73036551476
16,1930.69772888325,357,0.86,0.000001,0.001,0.742857142857143,804.089472770691
16,5179.47467923121,357,0.92,0.000001,0.001,0.457142857142857,1228.12733030319
16,5179.47467923121,357,0.89,0.000001,0.001,0.8,1055.88441944122
17,5179.47467923121,357,0.89,0.000001,0.001,0.714285714285714,1292.23217725754
17,5179.47467923121,357,0.86,0.000001,0.001,0.6,1055.92929553986
17,13894.9549437314,357,0.92,0.000001,0.001,0.742857142857143,1650.26655936241
17,13894.9549437314,357,0.89,0.000001,0.001,0.571428571428571,1186.62541055679
17,13894.9549437314,357,0.86,0.000001,0.001,0.542857142857143,1043.56127500534
17,37275.9372031494,357,0.92,0.000001,0.001,0.714285714285714,1586.29216265678
17,37275.9372031494,357,0.89,0.000001,0.001,0.742857142857143,1343.66102075577
17,37275.9372031494,357,0.86,0.000001,0.001,0.628571428571429,1085.10699129105
17,100000,357,0.89,0.000001,0.001,0.685714285714286,1373.51719307899
,,,,,,,
,,,,,,,
,,,,,,,828.344663182894
,,,,,,,13.8057443863816
