n_gen,success,best_fit,eval_first_sol,tgt_fit,elapsed_time,final_eval_counter,final_gen_mean_fit,final_gen_best_fit,final_gen_worst_fit,best_idv,final_gen_best_idv,seed,lambda,mu
33334,False,-13.073036193847656,,-2.0419964578214667,258.0204813480377,1000020,-13.073092460632324,-13.0730562210083,-13.073135375976562,"[4.355815410614014, -2.7416903972625732, -3.922813892364502, 3.9229722023010254, -9.895076751708984, -5.862706661224365, 0.8862766623497009, -11.434952735900879, -12.129417419433594, 7.773094654083252, 12.11296272277832, 0.48230716586112976, 7.969970226287842, 13.241172790527344, 3.038025379180908, -8.135358810424805, -4.226077556610107, 5.2972517013549805, 3.277555465698242, -3.910301446914673, 0.0010000000474974513, 0.0019463223870843649, 0.0012550668325275183, 0.0010000000474974513, 0.0010662772692739964, 0.0010508450213819742, 0.0010000000474974513, 0.0026540032122284174, 0.0010110613657161593, 0.0012934257974848151, 0.0026852067094296217, 0.0013566006673499942, 0.0015033595263957977, 0.0013064044760540128, 0.0012730207527056336, 0.0016377182910218835, 0.0016608225414529443, 0.0010000000474974513, 0.0010000000474974513, 0.0012744261184707284]","[4.354429721832275, -2.744957208633423, -3.908125877380371, 3.9308042526245117, -9.900364875793457, -5.860373497009277, 0.8825555443763733, -11.429118156433105, -12.125208854675293, 7.773244857788086, 12.10893440246582, 0.4775165319442749, 7.96678352355957, 13.239524841308594, 3.037484884262085, -8.137184143066406, -4.233331203460693, 5.292133808135986, 3.2686984539031982, -3.9012646675109863, 0.0019626212306320667, 0.001452525844797492, 0.002911454066634178, 0.001728180912323296, 0.001962236827239394, 0.0010000000474974513, 0.004984967410564423, 0.0038400429766625166, 0.002699634525924921, 0.002569386037066579, 0.002351189497858286, 0.004450715612620115, 0.009283739142119884, 0.0020749790128320456, 0.00323231122456491, 0.005849268287420273, 0.006112914532423019, 0.0037437696009874344, 0.00298519735224545, 0.003712463192641735]",277969,30,10
33334,False,-21.34003448486328,,-1.7574369615268552,257.01427388191223,1000020,-21.34007453918457,-21.340057373046875,-21.340131759643555,"[-2.3206441402435303, -3.7198681831359863, 1.038429856300354, -4.708512306213379, -5.364582538604736, 2.6315834522247314, -7.79218053817749, 4.115589618682861, 3.8180079460144043, 4.948236465454102, 2.3961634635925293, 4.661608695983887, -11.23269271850586, -12.754066467285156, -4.060807704925537, 3.601865530014038, -0.922238826751709, -1.8578839302062988, -3.982820749282837, -3.003714084625244, 0.002368724439293146, 0.0021549828816205263, 0.0010000000474974513, 0.001138892024755478, 0.0012165970401838422, 0.0010000000474974513, 0.0015283077955245972, 0.002131180837750435, 0.0013546963455155492, 0.0010000000474974513, 0.0010000000474974513, 0.0016177130164578557, 0.0025996589101850986, 0.002019105479121208, 0.002035475103184581, 0.001719034044072032, 0.0019006571965292096, 0.0022845363710075617, 0.0010000000474974513, 0.0019134337780997157]","[-2.321791648864746, -3.7197413444519043, 1.0360589027404785, -4.711331367492676, -5.349920272827148, 2.6332433223724365, -7.790252208709717, 4.118380546569824, 3.8240199089050293, 4.932846546173096, 2.404076099395752, 4.655679702758789, -11.235209465026855, -12.755245208740234, -4.0628862380981445, 3.5972297191619873, -0.9219359755516052, -1.8556686639785767, -3.980623960494995, -3.0092720985412598, 0.0028138821944594383, 0.0019793526735156775, 0.002953300951048732, 0.0012573320418596268, 0.0013851786497980356, 0.006490372586995363, 0.0024452682118862867, 0.003962795715779066, 0.0011452878825366497, 0.006657635327428579, 0.006244503427296877, 0.0014657111605629325, 0.0024393657222390175, 0.001747673493809998, 0.004270203877240419, 0.001728914212435484, 0.0010032752761617303, 0.0031078788451850414, 0.0015326346037909389, 0.0010000000474974513]",624179,30,10
33334,True,-1.9189038276672363,5250,-2.0414179025184422,255.33121728897095,1000020,-1.918927788734436,-1.91891610622406,-1.9189549684524536,"[16.719322204589844, -5.637905120849609, 4.732182502746582, -12.706075668334961, -9.912569999694824, 6.355612277984619, 6.945691108703613, 5.240123748779297, 0.4227104187011719, -8.868684768676758, 4.265867710113525, -4.125208854675293, -5.6027445793151855, -23.832021713256836, 14.371216773986816, 6.701869964599609, -7.1473469734191895, 15.165925979614258, -2.442488670349121, -2.750624895095825, 0.0013216548832133412, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0013620711397379637, 0.0017742040799930692, 0.0010000000474974513, 0.0019701658748090267, 0.0011768040712922812, 0.0010000000474974513, 0.0020510435570031404, 0.0010000000474974513, 0.0012137467274442315, 0.0013179401867091656, 0.0010000000474974513, 0.0013728830963373184, 0.0010000000474974513, 0.002547893673181534, 0.0010000000474974513, 0.0010046189418062568]","[16.719541549682617, -5.640054225921631, 4.731492519378662, -12.70643138885498, -9.914929389953613, 6.35384464263916, 6.938854694366455, 5.2431793212890625, 0.4244760572910309, -8.866594314575195, 4.263951778411865, -4.124899864196777, -5.606059551239014, -23.828880310058594, 14.370977401733398, 6.6971282958984375, -7.151195526123047, 15.162839889526367, -2.4437661170959473, -2.746901512145996, 0.002670885529369116, 0.005300336983054876, 0.001474555698223412, 0.001822291873395443, 0.0030370436143130064, 0.0010000000474974513, 0.0024240566417574883, 0.0011785037349909544, 0.0010000000474974513, 0.00341731496155262, 0.0013512353179976344, 0.001182115520350635, 0.0019373833201825619, 0.0018404199508950114, 0.001196285942569375, 0.0018184171058237553, 0.0028725098818540573, 0.0010000000474974513, 0.0036719199270009995, 0.0011929840547963977]",575004,30,10
33334,True,-1.5595297813415527,9510,-1.684419376077661,255.858638048172,1000020,-1.559613585472107,-1.5595760345458984,-1.5596494674682617,"[3.296344041824341, -0.8603856563568115, 1.8335877656936646, 0.25756916403770447, 0.2247771918773651, -2.1839213371276855, 1.724906325340271, -2.679457187652588, 3.586087226867676, 5.335899829864502, -1.9339646100997925, 4.805243015289307, 9.954524040222168, 3.4533472061157227, -10.704727172851562, 0.3294023871421814, 4.107429504394531, 9.545036315917969, 23.502824783325195, 3.4946091175079346, 0.001751356991007924, 0.0011802049120888114, 0.0014473713235929608, 0.0015770187601447105, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.001068463665433228, 0.0011821462539955974, 0.0013821636093780398, 0.0011451871832832694, 0.0010000000474974513, 0.0015965814236551523, 0.0015087256906554103, 0.0015106420032680035, 0.00231788563542068, 0.0012573393760249019, 0.0010454293806105852, 0.0014690493699163198, 0.0017218384891748428]","[3.2963340282440186, -0.851568341255188, 1.8109619617462158, 0.2567048668861389, 0.2212373912334442, -2.207963228225708, 1.74185311794281, -2.6683828830718994, 3.588386058807373, 5.336353302001953, -1.9261327981948853, 4.808384418487549, 9.956766128540039, 3.4452261924743652, -10.703062057495117, 0.3353612720966339, 4.10178279876709, 9.542298316955566, 23.499881744384766, 3.4942071437835693, 0.012520020827651024, 0.0010000000474974513, 0.0037869997322559357, 0.0024910965003073215, 0.0010000000474974513, 0.0024196417070925236, 0.0027844186406582594, 0.0021280983928591013, 0.00296929688192904, 0.004121321253478527, 0.0020428653806447983, 0.0010945888934656978, 0.0012394029181450605, 0.004415750503540039, 0.001158274826593697, 0.0010000000474974513, 0.0024294883478432894, 0.007872422225773335, 0.00190480996388942, 0.0019488733960315585]",33903,30,10
33334,False,-9.986288070678711,,-2.0681631779159564,257.63892912864685,1000020,-9.98838996887207,-9.987313270568848,-9.991133689880371,"[11.801631927490234, -13.337295532226562, -1.0539416074752808, -4.133233070373535, 4.649053573608398, -3.2593486309051514, 4.639309406280518, -5.050581455230713, -14.220990180969238, 4.948637008666992, 7.010712623596191, -2.0507819652557373, -10.305810928344727, -3.0477590560913086, 20.45446014404297, 7.213521480560303, 2.4216296672821045, 18.086584091186523, 0.14908543229103088, -4.7118940353393555, 0.0010000000474974513, 0.001109917531721294, 0.0010000000474974513, 0.0010000000474974513, 0.0019648196175694466, 0.0018654688028618693, 0.0010000000474974513, 0.0010000000474974513, 0.0012413624208420515, 0.0010000000474974513, 0.001269184984266758, 0.0010000000474974513, 0.0011395761976018548, 0.0010000000474974513, 0.0010000000474974513, 0.001154448138549924, 0.0010756846750155091, 0.0010000000474974513, 0.0010372375836595893, 0.0015978129813447595]","[11.760894775390625, -13.359517097473145, -1.1225451231002808, -4.109108924865723, 4.684136867523193, -3.2612709999084473, 4.618081092834473, -5.006083965301514, -14.183805465698242, 4.9495086669921875, 6.997798919677734, -2.0368056297302246, -10.297792434692383, -3.044527292251587, 20.440868377685547, 7.221065044403076, 2.420459508895874, 18.104469299316406, 0.17158448696136475, -4.616977691650391, 0.009436829015612602, 0.0040334914810955524, 0.010166536085307598, 0.014251768589019775, 0.04404011741280556, 0.006385946646332741, 0.018385719507932663, 0.0036055606324225664, 0.020528117194771767, 0.007220191415399313, 0.007280029822140932, 0.002989192260429263, 0.0024663684889674187, 0.007419392932206392, 0.004240830894559622, 0.016594868153333664, 0.015490422956645489, 0.028419828042387962, 0.0018887792248278856, 0.008669978007674217]",793925,30,10
33334,False,-41.35821533203125,,-2.0274902191804443,258.2955937385559,1000020,-41.35822677612305,-41.358219146728516,-41.35822677612305,"[-5.294154167175293, 0.014318319968879223, -5.006187915802002, -4.230807304382324, -5.426664352416992, 8.626221656799316, 10.08473014831543, -5.268219470977783, 14.23129940032959, -10.412038803100586, -3.8203284740448, -7.4138312339782715, -2.886033773422241, -9.22446060180664, -3.4867522716522217, -4.451317310333252, -2.2667415142059326, -8.142928123474121, -6.65074348449707, 0.20604418218135834, 0.0016475517768412828, 0.0010208875173702836, 0.0013154675252735615, 0.0010000000474974513, 0.001076102489605546, 0.0016982585657387972, 0.0012502578319981694, 0.0010000000474974513, 0.0015996505971997976, 0.001158939441666007, 0.001775145879946649, 0.0016009712126106024, 0.0010705710155889392, 0.004008881747722626, 0.0010000000474974513, 0.0012331289472058415, 0.0013144457479938865, 0.0010000000474974513, 0.0010000000474974513, 0.0026418708730489016]","[-5.301638603210449, 0.015517480671405792, -5.00502347946167, -4.233730316162109, -5.4250993728637695, 8.63118839263916, 10.081913948059082, -5.269205093383789, 14.231953620910645, -10.417427062988281, -3.8132967948913574, -7.424911022186279, -2.8826000690460205, -9.234208106994629, -3.489824056625366, -4.461061954498291, -2.271331548690796, -8.144899368286133, -6.646189212799072, 0.20282840728759766, 0.0022923804353922606, 0.002162989228963852, 0.002006808528676629, 0.003032281994819641, 0.0022263566497713327, 0.0021595230791717768, 0.0010000000474974513, 0.0010549621656537056, 0.0010000000474974513, 0.003978431690484285, 0.0011236796854063869, 0.0014133021468296647, 0.0010000000474974513, 0.0026600556448101997, 0.0012874804669991136, 0.0020877851638942957, 0.0021819958928972483, 0.001981165260076523, 0.0013015895383432508, 0.0017878753133118153]",516347,30,10
33334,False,-2.051419258117676,,-1.9276327959814608,279.12402629852295,1000020,-2.0515518188476562,-2.051500082015991,-2.0516202449798584,"[4.76608943939209, -11.546287536621094, 8.367950439453125, -17.31499671936035, 23.26670265197754, 2.6356632709503174, 4.9134626388549805, 4.71731424331665, -7.754880428314209, 4.501115322113037, -9.875595092773438, -3.2968783378601074, 4.6477885246276855, 6.113758087158203, -7.209533214569092, 0.6600766181945801, -7.438195705413818, -12.303703308105469, 15.441644668579102, -16.697921752929688, 0.0010631215991452336, 0.0010000000474974513, 0.0016473972937092185, 0.0011856593191623688, 0.0011531033087521791, 0.0013305082684382796, 0.0011122513096779585, 0.0019955001771450043, 0.0010000000474974513, 0.0010000000474974513, 0.0013807276263833046, 0.0010000000474974513, 0.0010000000474974513, 0.0019324462627992034, 0.0011915585491806269, 0.0010000000474974513, 0.0011953299399465322, 0.0015165898948907852, 0.0010000000474974513, 0.0010000000474974513]","[4.771224498748779, -11.538838386535645, 8.36164665222168, -17.320533752441406, 23.28090476989746, 2.637209415435791, 4.927829265594482, 4.705587387084961, -7.753120422363281, 4.512282371520996, -9.875880241394043, -3.2991178035736084, 4.669034957885742, 6.117833137512207, -7.222757816314697, 0.661807656288147, -7.44091272354126, -12.303812980651855, 15.446869850158691, -16.69948959350586, 0.003492607269436121, 0.00285745644941926, 0.001906068529933691, 0.004748862236738205, 0.0034501156769692898, 0.0033296311739832163, 0.002726983744651079, 0.005097029265016317, 0.005178167950361967, 0.004123345948755741, 0.004631932359188795, 0.004744398407638073, 0.006192760542035103, 0.008455797098577023, 0.0028361808508634567, 0.0021270799916237593, 0.006075217388570309, 0.004677207674831152, 0.005718261003494263, 0.0010873472783714533]",640857,30,10
33334,False,-21.553956985473633,,-1.82778554461332,287.8721845149994,1000020,-21.55406379699707,-21.554004669189453,-21.55413818359375,"[-15.38152027130127, -2.615577459335327, 1.7997541427612305, 4.818344593048096, 0.12584111094474792, 1.4655076265335083, 0.46756240725517273, -0.36250701546669006, -1.2821662425994873, 0.8552806973457336, -6.724478721618652, -7.875730991363525, 9.79988956451416, 5.034564971923828, -3.979987621307373, 16.41072654724121, 4.041584491729736, 6.298409461975098, -0.9148241877555847, -0.5780434608459473, 0.0016955866012722254, 0.0011994396336376667, 0.0010000000474974513, 0.0018107587238773704, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0012023147428408265, 0.0010000000474974513, 0.0011438151123002172, 0.0010000000474974513, 0.0012665922986343503, 0.001109448610804975, 0.0019559073261916637, 0.0012023552553728223, 0.0010000000474974513, 0.0019295241218060255, 0.0010000000474974513, 0.0010000000474974513]","[-15.369264602661133, -2.6142282485961914, 1.793880581855774, 4.820503234863281, 0.14529861509799957, 1.4689865112304688, 0.48104363679885864, -0.3597126305103302, -1.2817203998565674, 0.848223090171814, -6.718940734863281, -7.868276119232178, 9.796441078186035, 5.039332389831543, -3.978471279144287, 16.408782958984375, 4.0462260246276855, 6.289755344390869, -0.9203277230262756, -0.5700837969779968, 0.004288024734705687, 0.0021843828726559877, 0.004258116707205772, 0.003719951491802931, 0.0034276016522198915, 0.021817440167069435, 0.008237505331635475, 0.0017422123346477747, 0.003039114410057664, 0.001516612246632576, 0.0012205283856019378, 0.006947603542357683, 0.004981377627700567, 0.0031257146038115025, 0.006569125689566135, 0.00246740086004138, 0.0019516341853886843, 0.007245809771120548, 0.009043620899319649, 0.005947135388851166]",609983,30,10
33334,False,-4.805871486663818,,-1.995377120868777,289.11717534065247,1000020,-4.805891513824463,-4.805880546569824,-4.805904865264893,"[9.050209045410156, -4.110520839691162, 4.141918659210205, 10.230244636535645, 2.437869071960449, 0.41892099380493164, -3.7306323051452637, 21.516796112060547, 2.4513702392578125, -1.1303730010986328, 0.12178704142570496, -11.247641563415527, -1.2492201328277588, -10.872995376586914, 0.9014673829078674, 12.63090705871582, 18.902629852294922, -12.284856796264648, -5.737531661987305, 3.4513051509857178, 0.0012469209032133222, 0.001136095612309873, 0.0016479367623105645, 0.0015614675357937813, 0.0010000000474974513, 0.0017302122432738543, 0.0013359038857743144, 0.0015300496015697718, 0.0015199246117845178, 0.0010000000474974513, 0.0015113918343558908, 0.0010000000474974513, 0.0010000000474974513, 0.0011206378694623709, 0.001694145961664617, 0.0014768257969990373, 0.0010147017892450094, 0.0017154593952000141, 0.001306717051193118, 0.0011182822054252028]","[9.047647476196289, -4.107604503631592, 4.146539688110352, 10.230803489685059, 2.440873622894287, 0.4138253331184387, -3.73087739944458, 21.513338088989258, 2.4488601684570312, -1.132753849029541, 0.12030304223299026, -11.247597694396973, -1.2517845630645752, -10.871899604797363, 0.9006879925727844, 12.635970115661621, 18.903934478759766, -12.287026405334473, -5.73624324798584, 3.4532015323638916, 0.0010000000474974513, 0.0022930519189685583, 0.0033768939319998026, 0.001275273272767663, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0022240756079554558, 0.0010000000474974513, 0.0019470868865028024, 0.0010000000474974513, 0.0019493247382342815, 0.0032945170532912016, 0.0010000000474974513, 0.0017583685694262385, 0.0013436108129099011, 0.0010000000474974513, 0.0014825890539214015, 0.001908498932607472, 0.0015634220326319337]",972687,30,10
33334,True,-1.916628122329712,10140,-2.0389137626059988,290.68947863578796,1000020,-1.9166487455368042,-1.916634440422058,-1.9166724681854248,"[-7.875662803649902, 11.990821838378906, 17.88587188720703, -7.045769214630127, -5.230291843414307, 0.19606967270374298, -2.8681318759918213, 2.1252970695495605, -1.5361135005950928, -9.101452827453613, -10.162627220153809, 11.47010612487793, 16.072864532470703, -19.598575592041016, 10.783857345581055, 14.178868293762207, -9.85108470916748, 7.2740068435668945, 3.865217447280884, 1.0777612924575806, 0.0027317232452332973, 0.0019265762530267239, 0.0013336960691958666, 0.001394745078869164, 0.0014204090693965554, 0.0010409594979137182, 0.0041854120790958405, 0.0018528500804677606, 0.0010000000474974513, 0.0011610531946644187, 0.002313528209924698, 0.0012432173825800419, 0.0015819654799997807, 0.0021075878757983446, 0.0012209380511194468, 0.0013354264665395021, 0.0028144645038992167, 0.002240924397483468, 0.001114669139496982, 0.001759817125275731]","[-7.877083778381348, 11.996195793151855, 17.887454986572266, -7.044191360473633, -5.234478950500488, 0.1913275420665741, -2.8728513717651367, 2.1220600605010986, -1.5411852598190308, -9.104551315307617, -10.162361145019531, 11.469294548034668, 16.07200050354004, -19.59906768798828, 10.786482810974121, 14.178661346435547, -9.85012149810791, 7.273210048675537, 3.8656275272369385, 1.0778687000274658, 0.0011791115393862128, 0.0019109518034383655, 0.002381625585258007, 0.0010000000474974513, 0.004442949779331684, 0.001636094180867076, 0.0010000000474974513, 0.0010451925918459892, 0.0010000000474974513, 0.002843143418431282, 0.001093027414754033, 0.0010000000474974513, 0.0010000000474974513, 0.0027543900068849325, 0.001320605049841106, 0.0015160009497776628, 0.0013220816617831588, 0.002891396638005972, 0.001759350416250527, 0.002402923069894314]",125235,30,10
