gen_n,eval_counter,iter_time,gen_best_fit,gen_mean_fit,gen_worst_fit,gen_best_idv
0,750,0.2068309783935547,-87.44864654541016,-92.050537109375,-94.32492065429688,"[1.8878085613250732, 1.0362077951431274, -1.616111397743225, -7.653761863708496, 1.2743083238601685, 1.1765354871749878, -0.302537202835083, -0.3052505552768707, -0.06546694040298462, -0.4108496904373169, -0.013731717132031918, -0.7695482969284058, -0.5106636881828308, -0.3169814646244049, 0.8437203764915466, 2.033856153488159, -1.156951904296875, -2.212148427963257, -0.9948976635932922, -0.3233615756034851, 0.50700843334198, 4.942375659942627, 3.0670700073242188, 0.7655612826347351, -0.858908474445343, 0.6997509598731995, 1.8031370639801025, 0.8537119030952454, -1.1630572080612183, -10.948759078979492, 1.630717396736145, 4.3157243728637695, 0.6332986354827881, -0.02582252025604248, -0.002293749013915658, 5.674606800079346, 3.1848862171173096, 3.6623644828796387, -0.7503819465637207, 1.219335675239563, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 3.1413917541503906, 1.8047899007797241, 0.0010000000474974513, 1.8790621757507324, 0.0010000000474974513, 0.6598561406135559, 1.9838651418685913, 0.0010000000474974513, 0.0010000000474974513, 0.34079915285110474, 0.0010000000474974513, 0.1093340739607811, 0.0010000000474974513, 1.7320966720581055, 0.0010000000474974513, 0.4747788906097412, 0.0010000000474974513, 1.215620994567871, 2.7790634632110596, 1.4519846439361572, 0.0010000000474974513, 0.04446977376937866, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 2.6668684482574463, 6.825406074523926, 0.0010000000474974513, 2.17315411567688, 0.0010000000474974513, 1.5589524507522583, 0.0010000000474974513, 3.1732819080352783, 3.397047996520996, 3.2255420684814453, 0.0010000000474974513, 0.0010000000474974513]"
1,1500,0.2402787208557129,-81.79907989501953,-89.70223999023438,-93.44036865234375,"[0.5616097450256348, -0.748534619808197, -1.5075263977050781, -1.563584327697754, -1.7576310634613037, 1.865351915359497, -0.8587468862533569, -0.28436902165412903, -3.313777446746826, -0.25721055269241333, 0.8975414037704468, 1.2653847932815552, -0.23410630226135254, -0.8762366771697998, -6.353714466094971, -17.48522186279297, 4.754154682159424, 0.514053463935852, 6.394723892211914, -0.0745764970779419, 1.050889015197754, -2.0745577812194824, 3.01436448097229, 2.00736141204834, 1.0507891178131104, -1.7340666055679321, 7.493050575256348, 0.07084359228610992, 1.6756396293640137, 0.06219327449798584, 0.05008566379547119, -0.6180850863456726, -4.2452239990234375, 6.480881690979004, 6.260723114013672, -1.8038058280944824, -0.622713029384613, 0.4635848104953766, 0.4291609823703766, -0.8776824474334717, 0.0010000000474974513, 0.0010000000474974513, 1.166197657585144, 0.17490263283252716, 1.4242525100708008, 0.0835251733660698, 0.5187445282936096, 0.0010890973499044776, 0.4512651264667511, 0.21796663105487823, 0.789409339427948, 1.00814950466156, 0.29263585805892944, 0.38912028074264526, 2.181870698928833, 2.3631844520568848, 1.2053182125091553, 0.2576751112937927, 1.5379726886749268, 0.4106505215167999, 0.29835277795791626, 0.39868178963661194, 0.7736287713050842, 0.6646997332572937, 0.4103793501853943, 0.24406130611896515, 2.971010446548462, 0.0010927440598607063, 0.3087521493434906, 0.391493558883667, 1.6007661819458008, 0.0010984542313963175, 1.6053104400634766, 2.2548038959503174, 2.5448124408721924, 0.0010000000474974513, 0.0011460749665275216, 0.4557434022426605, 0.09546633064746857, 0.7737180590629578]"
2,2250,0.2371048927307129,-76.68525695800781,-86.1002426147461,-92.40560150146484,"[0.6427326202392578, 0.10387036204338074, 0.6307059526443481, 0.21638065576553345, -0.8678174018859863, 3.704061985015869, 0.12260732054710388, 0.4250348210334778, 0.33522677421569824, -0.13883249461650848, -1.8253111839294434, -1.7024191617965698, -2.153268814086914, 6.221734523773193, -2.2645339965820312, -0.2358798086643219, -5.714979648590088, -14.017909049987793, 2.1126515865325928, 1.4134066104888916, -0.8666983842849731, 0.8727429509162903, 0.46166566014289856, 0.7852374315261841, 0.8256922960281372, -1.702967643737793, 27.384201049804688, -0.7558220028877258, -0.19350793957710266, -0.7134238481521606, 1.2683438062667847, -7.577173709869385, -0.25696009397506714, 1.2449750900268555, 0.4755472242832184, -1.8715858459472656, -0.8388824462890625, 0.5637331008911133, 0.0011702626943588257, 3.0157265663146973, 0.4820330739021301, 0.8456326723098755, 0.2826291024684906, 0.001370140933431685, 0.051897238940000534, 2.6817328929901123, 1.3283381462097168, 0.5188241004943848, 1.5984365940093994, 0.001658030436374247, 0.5617654323577881, 0.5019787549972534, 1.2174111604690552, 2.4870736598968506, 0.7899113297462463, 0.1495610773563385, 2.760418653488159, 3.5444998741149902, 0.5646007061004639, 0.23390062153339386, 0.44521114230155945, 0.0016590397572144866, 0.002239121589809656, 0.8203313946723938, 2.2929189205169678, 0.6782448291778564, 5.789616584777832, 1.0819106101989746, 1.3046513795852661, 0.565302848815918, 0.3008912205696106, 2.5229856967926025, 0.7679776549339294, 0.9596285223960876, 1.2428759336471558, 0.784312903881073, 0.3337980806827545, 1.0962475538253784, 0.39630216360092163, 3.625351667404175]"
3,3000,0.2044079303741455,-73.12934875488281,-82.25129699707031,-91.6762924194336,"[4.780971527099609, 0.23637843132019043, -0.23520682752132416, 1.4243390560150146, 1.3023074865341187, 1.3642679452896118, -1.2253572940826416, 3.4134716987609863, 0.7720834016799927, -2.6762497425079346, 0.745703935623169, 1.0741550922393799, -1.6813665628433228, -2.1126015186309814, -1.0537147521972656, 2.2618014812469482, 3.5791802406311035, 1.5826189517974854, -3.781390905380249, 2.1957850456237793, 0.9681534171104431, 2.623535633087158, -6.559457302093506, 0.675358235836029, 1.1292542219161987, 2.409601926803589, 20.778427124023438, 0.09596669673919678, -7.491477012634277, -14.531448364257812, 2.3801636695861816, 0.2199936807155609, -7.5507378578186035, 11.562030792236328, -0.45293912291526794, -6.898443698883057, 2.0478644371032715, 8.981327056884766, 1.8964734077453613, -0.18756186962127686, 0.2721904218196869, 0.2043507844209671, 0.0010000000474974513, 1.859578013420105, 0.6745657920837402, 0.08600686490535736, 0.8067992329597473, 0.3689086139202118, 0.38735124468803406, 0.34392687678337097, 0.3169116973876953, 0.16510939598083496, 0.4525684416294098, 0.5370076894760132, 0.6642144322395325, 0.20603004097938538, 0.004014977253973484, 0.7962742447853088, 1.939138412475586, 0.4951814115047455, 0.598806619644165, 0.9215330481529236, 1.0628324747085571, 0.9555861353874207, 2.0278031826019287, 0.7756868600845337, 1.747496247291565, 0.0010000000474974513, 0.7949305176734924, 3.0841245651245117, 0.3721788227558136, 1.463152289390564, 0.3724098801612854, 1.8585315942764282, 0.9631435871124268, 1.2530806064605713, 1.3649964332580566, 1.9510141611099243, 0.39325642585754395, 1.0623748302459717]"
4,3750,0.2516744136810303,-66.27466583251953,-78.9776840209961,-89.07778930664062,"[-0.12135708332061768, -1.1358917951583862, 0.38041964173316956, 2.788447856903076, 1.737346887588501, 1.2947933673858643, -4.036474704742432, 3.0204756259918213, -2.5017411708831787, -0.027985170483589172, 0.15859079360961914, -0.3199252784252167, -0.5736812949180603, 0.3028358817100525, 14.266979217529297, -15.173563957214355, -3.866241931915283, 0.4416607618331909, 0.3254653215408325, 0.8534725904464722, -4.493752479553223, 3.516181468963623, 5.424513816833496, 1.0252896547317505, -7.485164642333984, -14.071832656860352, 21.723161697387695, 0.14268526434898376, 2.1436896324157715, -28.01931381225586, 2.695528745651245, -1.857128381729126, -14.388481140136719, 16.414894104003906, 4.194400787353516, 8.028499603271484, 0.5610116124153137, -1.371874451637268, 1.2964725494384766, -1.119030237197876, 0.8448241949081421, 0.2704918086528778, 0.36843883991241455, 2.2430853843688965, 1.4353117942810059, 0.45814841985702515, 1.6545151472091675, 0.6278567314147949, 0.2928895652294159, 0.8270267844200134, 1.2541815042495728, 0.17114970088005066, 0.5792832374572754, 0.6884269714355469, 1.4604010581970215, 1.9401843547821045, 1.4404298067092896, 0.6990073919296265, 1.1022799015045166, 1.1223201751708984, 2.1008265018463135, 1.4118657112121582, 2.3978283405303955, 1.6937129497528076, 2.0374534130096436, 1.1387711763381958, 0.8119362592697144, 0.11342296749353409, 1.1134090423583984, 6.286550045013428, 0.5537961721420288, 1.8143318891525269, 2.052177667617798, 5.0325446128845215, 2.7385969161987305, 3.1532046794891357, 0.9438064694404602, 0.5243563652038574, 1.0086665153503418, 0.29861775040626526]"
5,4500,0.22191548347473145,-66.4091567993164,-75.50820922851562,-84.84064483642578,"[1.1692718267440796, -1.1020386219024658, 0.8059101104736328, -3.140348196029663, 0.21933436393737793, 0.783041775226593, -5.339688777923584, 3.2263073921203613, 1.4194673299789429, 0.15756845474243164, -4.092236518859863, -1.9222378730773926, 0.27616459131240845, 0.18306589126586914, 16.98944091796875, -13.998615264892578, -15.013021469116211, 0.8172229528427124, -0.42841291427612305, 1.6279020309448242, -4.6295857429504395, 3.173527717590332, -2.1414859294891357, 1.0551413297653198, -6.843884468078613, -11.73468017578125, 27.240026473999023, 0.12189291417598724, 0.7548896074295044, -17.231239318847656, 3.238920211791992, -2.5711920261383057, -12.052952766418457, 17.60149383544922, -7.001140594482422, 6.6794047355651855, 0.4319428503513336, -0.6237438917160034, -2.3093953132629395, -1.196045160293579, 0.8523605465888977, 0.3306905925273895, 0.5701780319213867, 1.1899638175964355, 0.8031157851219177, 1.0531971454620361, 0.8274566531181335, 0.5992327928543091, 0.5175508260726929, 1.0610471963882446, 0.7148338556289673, 0.34763985872268677, 0.7253626585006714, 0.9875622987747192, 2.777416944503784, 1.0300878286361694, 1.2326239347457886, 0.8024506568908691, 0.7681955099105835, 1.9471501111984253, 1.1279571056365967, 0.6201400756835938, 1.9005719423294067, 1.0169637203216553, 1.6377941370010376, 1.6107655763626099, 0.2845742702484131, 0.6037839651107788, 1.9968242645263672, 1.4662277698516846, 0.5528925657272339, 1.0333030223846436, 1.99506676197052, 0.9041539430618286, 0.6244381666183472, 2.793185234069824, 0.13790741562843323, 0.9056364893913269, 1.2765079736709595, 0.2792784571647644]"
6,5250,0.2391211986541748,-62.08870315551758,-72.02409362792969,-85.69137573242188,"[0.31037020683288574, 1.1641802787780762, 2.8054311275482178, 4.509152889251709, -4.573637008666992, -0.2495630979537964, 0.5971640348434448, 0.21558719873428345, -2.740222930908203, -3.746419906616211, 1.6802105903625488, 2.8673477172851562, -0.5814622640609741, -1.2692534923553467, 17.96230697631836, -18.22152328491211, -21.234622955322266, 13.399828910827637, -1.7455923557281494, 0.8118351101875305, -3.2397096157073975, 9.762369155883789, 4.86440896987915, 0.15623396635055542, -11.445606231689453, 12.23379135131836, 23.192480087280273, -0.3997715413570404, -6.770668983459473, -16.876052856445312, 5.898550033569336, -1.8438997268676758, -1.7910813093185425, 2.0239059925079346, -5.000674247741699, 6.357090950012207, -3.0794107913970947, -1.5770163536071777, -1.9236984252929688, 3.012303590774536, 0.21726255118846893, 0.18845047056674957, 0.28918981552124023, 2.208000421524048, 0.46665850281715393, 1.7012335062026978, 1.904816746711731, 0.15060050785541534, 0.7134714722633362, 0.8915743827819824, 0.1675642877817154, 0.3169700503349304, 0.2024829387664795, 0.4442666471004486, 1.0752644538879395, 0.15858130156993866, 1.3098598718643188, 0.8456882238388062, 0.8003857731819153, 0.4359399676322937, 1.394233226776123, 0.4574299454689026, 1.550033450126648, 0.7503454685211182, 0.0010000000474974513, 1.1128507852554321, 1.1238811016082764, 0.31449437141418457, 0.14657865464687347, 3.576763868331909, 0.3051452934741974, 1.2504080533981323, 0.46350380778312683, 0.7971170544624329, 1.3840173482894897, 2.6906485557556152, 0.5418962240219116, 0.957781970500946, 0.8949130177497864, 1.092901349067688]"
7,6000,0.28440093994140625,-59.360870361328125,-67.50005340576172,-76.58130645751953,"[1.559590220451355, -1.6130329370498657, -1.233364462852478, -2.5293960571289062, 2.018012523651123, 5.340721607208252, -5.126588821411133, 0.7680870294570923, -3.9553439617156982, -2.5961966514587402, 1.7945945262908936, -0.7705931663513184, 0.2946440577507019, 11.441818237304688, 20.798067092895508, -16.988101959228516, -9.638246536254883, -13.142744064331055, 1.1019939184188843, 0.3077425956726074, -3.0026590824127197, 3.071194648742676, 4.042010307312012, -2.521794319152832, -6.461428165435791, -9.822063446044922, 26.413089752197266, -3.9099717140197754, 0.5482758283615112, -14.955998420715332, 0.29876813292503357, -10.778730392456055, -15.44658374786377, 14.982457160949707, 6.469827651977539, -14.342344284057617, -5.275482654571533, 3.143965005874634, -2.0105068683624268, 3.3670623302459717, 0.6492575407028198, 0.3518558442592621, 0.1584215611219406, 0.8697918057441711, 0.9111595153808594, 2.3097119331359863, 1.1419914960861206, 0.3260423541069031, 0.3402741551399231, 1.6256663799285889, 0.7872287034988403, 0.16501806676387787, 1.2526062726974487, 0.5583720207214355, 1.121369481086731, 0.8169017434120178, 1.2801634073257446, 1.6962116956710815, 0.8160243630409241, 0.646921694278717, 0.8387957811355591, 0.5940147638320923, 1.4184796810150146, 1.1131054162979126, 0.7699418067932129, 1.6884610652923584, 2.6737351417541504, 0.7907257676124573, 1.2840644121170044, 5.178643703460693, 0.5155088305473328, 1.0480241775512695, 1.2060502767562866, 4.163815975189209, 0.6152322292327881, 2.4465508460998535, 0.6383517980575562, 0.3869938254356384, 0.3922029733657837, 0.9366782903671265]"
8,6750,0.23615050315856934,-54.100975036621094,-64.59075927734375,-78.96676635742188,"[2.92256236076355, -0.053995281457901, -2.8835337162017822, 6.019137859344482, 1.1407859325408936, -5.2544989585876465, -2.2551751136779785, 2.028421401977539, 1.3843473196029663, -0.46648913621902466, 3.8049025535583496, -0.3214761018753052, 0.7094482183456421, 2.597986936569214, 21.729257583618164, -14.330312728881836, -6.36958122253418, -14.265230178833008, 4.961727619171143, 0.5272972583770752, -6.397617340087891, 0.2348649501800537, -1.893609642982483, -4.279735565185547, -5.6182427406311035, -3.3558266162872314, 30.756439208984375, -3.1228249073028564, 10.997154235839844, -35.113121032714844, 3.1046695709228516, -0.826003909111023, -13.95704460144043, 18.823938369750977, -8.670124053955078, 8.390177726745605, 6.032553195953369, 1.957676649093628, -0.049032896757125854, -8.515569686889648, 0.9352993369102478, 0.4157358407974243, 0.6415374279022217, 0.9643857479095459, 1.0954686403274536, 2.4680933952331543, 0.8302942514419556, 0.5160276293754578, 0.49771466851234436, 1.29031503200531, 1.482816457748413, 0.14474616944789886, 0.8697882294654846, 0.9091686010360718, 1.4790854454040527, 1.3674966096878052, 2.8678057193756104, 1.5587363243103027, 1.424315333366394, 0.6765670776367188, 2.1715123653411865, 1.066861629486084, 1.6711876392364502, 1.994951605796814, 2.485344409942627, 2.782742500305176, 2.9868836402893066, 0.46981462836265564, 2.1224441528320312, 4.08809757232666, 0.8989372253417969, 2.1100475788116455, 1.2338258028030396, 2.664679527282715, 2.648383140563965, 1.1979060173034668, 0.7290836572647095, 1.0515532493591309, 0.6405938267707825, 0.8483230471611023]"
9,7500,0.23634099960327148,-49.46921920776367,-58.47108459472656,-72.01786041259766,"[-3.7432355880737305, 1.1545929908752441, -0.6829039454460144, -1.2963744401931763, -3.924792766571045, -2.179826498031616, -0.6987502574920654, 2.6667263507843018, -1.9991918802261353, -0.1859917938709259, 1.0317925214767456, -2.0675771236419678, 1.541717290878296, 10.913312911987305, 21.746868133544922, -14.282369613647461, -22.1695613861084, 13.32828140258789, 1.006860613822937, 2.539583206176758, -1.7050395011901855, 3.407330274581909, 3.226651668548584, 1.5683571100234985, -9.50097370147705, -14.104225158691406, 42.65253448486328, -2.812822103500366, 9.915769577026367, -23.088926315307617, 0.8027569651603699, -3.1559948921203613, -9.648576736450195, 23.134754180908203, -7.363083839416504, 10.300467491149902, -0.08516106009483337, 0.10285845398902893, -1.9984185695648193, -5.60373592376709, 0.6332056522369385, 0.24041032791137695, 0.29719457030296326, 0.5820447206497192, 0.6598809957504272, 0.5781705975532532, 1.1063271760940552, 0.5095520615577698, 0.37516331672668457, 0.2569926679134369, 0.6580286026000977, 0.12284858524799347, 0.216364786028862, 0.9012833833694458, 0.5006487369537354, 0.8284102082252502, 0.6147859692573547, 0.6177228093147278, 1.0095034837722778, 0.9442479014396667, 0.2157905399799347, 0.40464654564857483, 1.0935865640640259, 1.186598300933838, 0.30319350957870483, 1.0944796800613403, 1.174242377281189, 0.12887324392795563, 0.2238823026418686, 2.2294983863830566, 0.7016611099243164, 0.0714668482542038, 0.3033164143562317, 3.9571731090545654, 1.292521357536316, 1.9299719333648682, 0.6187528967857361, 0.392851859331131, 0.3210431933403015, 1.2120050191879272]"
